LAD23CD,borough_total_area,borough_area_covered,area_coverage_rate,borough_total_area_km2,borough_area_covered_km2
E07000012,882652566.2545116,132681595.92296226,0.15032142996648096,882.6525662545116,132.68159592296226
E07000032,214994677.71494287,35414188.11189601,0.16472123165230615,214.99467771494287,35.41418811189601
E07000033,154421063.8961965,23152751.551142905,0.14993259965302683,154.4210638961965,23.152751551142906
E07000034,66029978.261885986,39273557.22803462,0.5947837370515117,66.02997826188599,39.273557228034626
E07000035,795430757.2408166,24808010.400684234,0.03118814576235152,795.4307572408165,24.808010400684235
E07000036,109623749.75620228,31181016.480552573,0.284436689585036,109.62374975620229,31.18101648055257
E07000037,540207614.5140855,25091043.575403932,0.046447037955903714,540.2076145140855,25.091043575403933
E07000038,274652469.4454515,35889058.0813908,0.13067080064437103,274.6524694454515,35.8890580813908
E07000039,326281298.9303007,29611353.580532234,0.09075406306647604,326.2812989303007,29.611353580532235
E07000040,756144750.8237848,79212453.63237642,0.10475831981386911,756.1447508237849,79.21245363237642
E07000041,38099231.27686908,31547694.34715747,0.8280401805983629,38.099231276869084,31.54769434715747
E07000042,897272941.5865495,32491247.410217088,0.03621110801888929,897.2729415865496,32.491247410217085
E07000043,1080648042.5761218,49516630.62759021,0.045821237513695136,1080.6480425761217,49.51663062759021
E07000044,886508865.8979297,44308144.60851823,0.04998048673054078,886.5088658979297,44.30814460851823
E07000045,657516629.3492885,72596428.15717435,0.11041002602324967,657.5166293492885,72.59642815717434
E07000046,983632737.6933604,28609198.37884855,0.02908524419992133,983.6327376933605,28.60919837884855
E07000047,1068965371.4792953,24550036.419527605,0.022966166233761028,1068.9653714792953,24.550036419527604
E07000061,33620349.937800065,20651884.02113941,0.6142673725688995,33.620349937800064,20.65188402113941
E07000062,29742830.60545505,22263855.505370345,0.7485452814059665,29.742830605455048,22.263855505370344
E07000063,292078606.5356375,29291976.856475577,0.1002879916605654,292.0786065356375,29.29197685647558
E07000064,511799068.6397565,35120671.75655501,0.06862199231799626,511.7990686397565,35.12067175655501
E07000065,795418135.243067,56906367.49485985,0.07154270813484807,795.418135243067,56.90636749485985
E07000066,108577777.20016837,66873449.18306917,0.6159036490476751,108.57777720016837,66.87344918306917
E07000067,611159829.6384826,77072230.07301441,0.1261081411692334,611.1598296384826,77.07223007301441
E07000068,151959218.35843417,35001591.1418519,0.2303354249907486,151.95921835843416,35.001591141851904
E07000069,45061343.86066817,29303188.690523416,0.6502954901018992,45.06134386066817,29.303188690523417
E07000070,295937195.95487076,76312449.58533329,0.25786704283354306,295.9371959548708,76.31244958533328
E07000071,311988203.947723,69685713.38394141,0.22336009022834086,311.988203947723,69.68571338394142
E07000072,338970318.66705966,35990256.23818333,0.10617524383759791,338.97031866705964,35.99025623818333
E07000073,26067923.519418944,21194117.69358664,0.8130343668454594,26.067923519418944,21.19411769358664
E07000074,339646508.45455563,45723951.77987809,0.13462217523721698,339.64650845455566,45.723951779878085
E07000075,169356581.89749572,47036659.8489917,0.27773741842204264,169.35658189749572,47.0366598489917
E07000076,337753635.5309579,84340675.65248024,0.2497106375180667,337.75363553095787,84.34067565248024
E07000077,610858759.0170933,46582938.441279754,0.07625811655092639,610.8587590170933,46.58293844127975
E07000078,44695766.74068601,25294517.19021863,0.565926463169796,44.695766740686004,25.29451719021863
E07000079,1028595196.8052558,24865748.766713515,0.024174474899304195,1028.5951968052557,24.865748766713516
E07000080,526296082.2639344,31706035.90496319,0.0602437239672683,526.2960822639344,31.70603590496319
E07000081,32978908.21951403,27337970.893845018,0.8289531815874002,32.97890821951403,27.337970893845018
E07000082,413006910.58718985,55537782.89805744,0.13447180053015811,413.00691058718985,55.537782898057436
E07000083,376541516.96809053,24501251.16589177,0.06506918908484689,376.54151696809055,24.50125116589177
E07000084,611822510.5689601,50960436.90164451,0.08329284395609146,611.8225105689601,50.96043690164451
E07000085,506632242.81105626,41282083.14535863,0.08148333180751466,506.63224281105624,41.28208314535863
E07000086,69553998.81976455,36537207.23781484,0.5253070687207186,69.55399881976456,36.53720723781484
E07000087,74274609.12532245,39512608.39627188,0.5319800246892291,74.27460912532244,39.51260839627188
E07000088,23607057.413667742,17096828.223845463,0.7242252994202886,23.607057413667743,17.096828223845463
E07000089,206723603.12428573,27849864.495954175,0.13472029354679138,206.72360312428572,27.849864495954176
E07000090,54291415.98676574,35746757.0851439,0.6584237385493437,54.29141598676574,35.746757085143905
E07000091,753055807.7911756,88198646.80078426,0.11712099672862755,753.0558077911757,88.19864680078426
E07000092,31246057.84278583,19029207.551335517,0.6090114678491844,31.24605784278583,19.029207551335517
E07000093,580094842.207264,39934626.590579495,0.06884154742460392,580.0948422072639,39.9346265905795
E07000094,620614699.9076428,41683147.14188679,0.06716429235093835,620.6146999076428,41.68314714188679
E07000095,49702074.56522206,18254638.84750963,0.3672812253250071,49.70207456522206,18.25463884750963
E07000096,211624476.92388338,40100731.349845454,0.18949004355610904,211.62447692388338,40.100731349845454
E07000098,100721583.00932585,28094036.884612206,0.27892767414121133,100.72158300932584,28.094036884612205
E07000099,375365972.9405084,52794934.384002835,0.14064922819301545,375.3659729405084,52.794934384002836
E07000102,84755658.09699897,27544241.77173247,0.32498410596032823,84.75565809699897,27.54424177173247
E07000103,20003710.792815126,15742481.372621348,0.7869780530058296,20.003710792815127,15.742481372621349
E07000105,559851284.0707151,40624886.41850626,0.07256371035379265,559.8512840707151,40.62488641850626
E07000106,287788011.5307138,50148038.944484524,0.1742533981097838,287.7880115307138,50.148038944484526
E07000107,63714493.80228034,21071965.30354415,0.3307248327034497,63.71449380228034,21.07196530354415
E07000108,306566848.5819107,35864308.27482765,0.116986909839487,306.56684858191073,35.86430827482765
E07000109,97641847.35717562,24464488.05426675,0.25055331004518194,97.64184735717562,24.464488054266752
E07000110,379634918.3828175,43297518.44657171,0.11405041093430508,379.6349183828175,43.29751844657171
E07000111,366548704.6742425,43580761.999377966,0.11889487384250577,366.5487046742425,43.58076199937796
E07000112,356805905.03967905,31730390.22031812,0.08892899408934811,356.80590503967903,31.73039022031812
E07000113,340642270.9575265,39357580.681072384,0.11553933271534508,340.6422709575265,39.357580681072385
E07000114,78332330.36444387,33956226.19477105,0.4334892889920233,78.33233036444386,33.95622619477105
E07000115,219406380.0871718,47034730.94070177,0.21437266738558158,219.40638008717178,47.03473094070177
E07000116,330887997.9806129,39804234.45899323,0.12029518961677602,330.88799798061285,39.80423445899323
E07000117,110699715.63154615,20098890.142619945,0.18156225630711878,110.69971563154616,20.098890142619943
E07000118,194579404.40083036,31201195.35582021,0.1603519933258006,194.57940440083036,31.201195355820207
E07000119,165684360.74391124,24671458.01503308,0.14890637779124086,165.68436074391124,24.671458015033082
E07000120,72573160.02092466,17856718.665529102,0.24605127653778014,72.57316002092466,17.8567186655291
E07000121,575877800.9148638,32269873.775174875,0.05603597451388053,575.8778009148638,32.26987377517487
E07000122,169341130.00247774,20944425.382332206,0.12368185674694479,169.34113000247774,20.944425382332206
E07000123,126446804.37879989,32921216.583941024,0.2603562561005346,126.44680437879988,32.921216583941025
E07000124,581373885.5489427,17817072.275160696,0.030646495685538965,581.3738855489427,17.817072275160697
E07000125,138033594.88550162,19248449.152955055,0.13944756831785463,138.03359488550163,19.248449152955054
E07000126,104890681.41958125,29766470.718343116,0.28378565488836877,104.89068141958126,29.766470718343115
E07000127,346745622.3932341,44042882.70474958,0.1270178478412103,346.7456223932341,44.04288270474958
E07000128,282070701.12544185,29227794.01106044,0.10361868104146811,282.0707011254419,29.22779401106044
E07000129,130464243.23198661,29918732.848824497,0.229325155365552,130.46424323198661,29.918732848824497
E07000130,272365291.75563353,45080070.9488165,0.1655132732156724,272.3652917556335,45.0800709488165
E07000131,536559841.0847731,32542665.895063054,0.060650580612352456,536.5598410847731,32.54266589506305
E07000132,277158954.290521,29141671.714637928,0.10514425481664688,277.158954290521,29.141671714637926
E07000133,481379616.3228061,19852729.52989437,0.04124131736517365,481.3796163228061,19.852729529894372
E07000134,253169270.53373525,33859053.8502241,0.13374077264133177,253.16927053373524,33.8590538502241
E07000135,23531159.74153141,13640897.51087569,0.5796950792357308,23.531159741531408,13.640897510875691
E07000136,360001692.8278797,80844106.28318422,0.22456590592154954,360.0016928278797,80.84410628318422
E07000137,1761848891.313445,154223201.1473544,0.08753486289756789,1761.8488913134452,154.2232011473544
E07000138,32505502.25928562,30995916.875834793,0.9535590814315261,32.50550225928562,30.995916875834794
E07000139,911583265.6992037,95586778.37295213,0.10485797838734462,911.5832656992037,95.58677837295214
E07000140,749263764.235116,101172259.14741892,0.13502889633359003,749.263764235116,101.17225914741891
E07000141,938720028.3763441,123335856.95942882,0.13138726481926302,938.7200283763441,123.33585695942882
E07000142,1113607867.5570395,71469726.94649042,0.06417853988700355,1113.6078675570395,71.46972694649043
E07000143,1275472795.3316696,88288171.38025318,0.06921995647684122,1275.4727953316697,88.28817138025317
E07000144,550377848.864202,83276278.60992678,0.15130746773654044,550.3778488642021,83.27627860992678
E07000145,173598352.9039834,52698980.708318844,0.3035684372965592,173.59835290398343,52.69898070831884
E07000146,1435335118.987329,189184267.08124608,0.13180494546438823,1435.335118987329,189.18426708124608
E07000147,912290276.497811,102051119.23161574,0.11186255280871736,912.290276497811,102.05111923161574
E07000148,37636332.11464208,35152078.98022295,0.9339932189233536,37.63633211464208,35.152078980222946
E07000149,890356120.043465,85502564.6802845,0.0960318716920938,890.356120043465,85.5025646802845
E07000170,105879881.79621308,31385463.416902505,0.2964251837503,105.87988179621307,31.385463416902503
E07000171,569709225.8550993,40562249.4239146,0.07119816141827982,569.7092258550994,40.562249423914594
E07000172,80116039.29544722,29305620.10409224,0.3657896765967261,80.11603929544721,29.30562010409224
E07000173,119986112.34146066,30614264.744669832,0.255148401321202,119.98611234146065,30.614264744669832
E07000174,75998771.84638305,28219161.05204253,0.3713107510353214,75.99877184638305,28.21916105204253
E07000175,633792734.6739076,37388577.51305513,0.05899180515581629,633.7927346739076,37.38857751305513
E07000176,406815673.0536428,34393835.12543635,0.0845440267019928,406.8156730536428,34.393835125436354
E07000177,512642921.41730535,45043685.885375075,0.08786561562352732,512.6429214173054,45.043685885375076
E07000178,43106820.538289845,26215251.632123716,0.6081462586376067,43.106820538289846,26.215251632123717
E07000179,620236426.7944255,43951517.32204764,0.07086252181156585,620.2364267944255,43.95151732204764
E07000180,544377049.8094275,42624803.66413003,0.07830014817680482,544.3770498094275,42.624803664130035
E07000181,625827869.6571991,33539349.731242094,0.05359197210187119,625.8278696571991,33.5393497312421
E07000192,77815490.81030977,25729047.060724862,0.3306417114741892,77.81549081030977,25.729047060724863
E07000193,389988787.4549374,35349271.86289206,0.09064176458400516,389.9887874549374,35.34927186289206
E07000194,300746868.5273377,27516344.884004373,0.09149337121527887,300.74686852733765,27.516344884004372
E07000195,210935256.4707296,39731425.90849231,0.18835839287021058,210.9352564707296,39.73142590849231
E07000196,407296113.3393212,32864887.07672208,0.08069040189770266,407.2961133393212,32.864887076722084
E07000197,558160727.3749824,37788325.17794196,0.06770151199218122,558.1607273749823,37.788325177941964
E07000198,575832110.4026023,26909295.9127752,0.046731148587669295,575.8321104026023,26.9092959127752
E07000199,30858650.746164635,20132299.137259625,0.6524037393229783,30.858650746164635,20.132299137259626
E07000200,585463490.9918244,61519049.44783242,0.10507751618058024,585.4634909918244,61.51904944783242
E07000202,39529672.34869064,36346791.2602716,0.9194812175435483,39.52967234869064,36.3467912602716
E07000203,831981926.3519824,80003848.83880079,0.09616056107083505,831.9819263519823,80.00384883880079
E07000207,95912723.98502818,43336081.11180403,0.45182828003684605,95.91272398502818,43.33608111180403
E07000208,32411604.068728164,17488244.514526434,0.5395673869594038,32.41160406872817,17.488244514526436
E07000209,270929227.5452577,45679874.00671985,0.16860445224238202,270.9292275452577,45.67987400671985
E07000210,258314111.08603078,36425747.36169124,0.1410133856355983,258.3141110860308,36.425747361691236
E07000211,124788499.30167703,39328023.983647004,0.3151574400183405,124.78849930167704,39.328023983647
E07000212,78050885.25941777,26576478.48606556,0.3405019481551465,78.05088525941777,26.576478486065557
E07000213,50491207.506840825,17857276.988030393,0.3536710225361711,50.49120750684082,17.857276988030392
E07000214,95076289.52247114,29835549.717082348,0.3138064165832929,95.07628952247114,29.835549717082348
E07000215,247636336.31515113,36849420.80384728,0.14880457913474923,247.6363363151511,36.84942080384728
E07000216,345193797.88719857,50600677.86760891,0.14658628914342214,345.19379788719857,50.600677867608916
E07000217,61623035.359021574,24674222.695634194,0.40040583122658374,61.62303535902157,24.674222695634192
E07000218,284256731.50441295,20951183.898935538,0.07370514600675439,284.2567315044129,20.951183898935536
