LSOA11CD,Total
E01012968,"1,583"
E01012969,"1,105"
E01012970,"1,805"
E01012972,"1,548"
E01012974,"1,541"
E01012975,"1,565"
E01012976,"1,337"
E01012978,"1,653"
E01012979,"1,704"
E01012980,"1,623"
E01012981,"1,329"
E01012982,"1,547"
E01012983,"1,792"
E01012984,"1,875"
E01012985,"1,736"
E01012986,"1,527"
E01012987,"1,690"
E01012988,"1,578"
E01012989,"1,821"
E01012990,"1,404"
E01012991,"1,576"
E01012992,"1,400"
E01012993,"1,441"
E01012994,"1,856"
E01012995,"1,953"
E01012996,"1,726"
E01012997,"1,946"
E01012998,"2,268"
E01012999,"1,699"
E01013000,"2,208"
E01013001,"1,807"
E01013002,"1,829"
E01013003,"1,496"
E01013004,"1,817"
E01013005,"1,974"
E01013006,"1,517"
E01013007,"1,509"
E01013008,"1,355"
E01013009,"1,572"
E01013010,"1,414"
E01013011,"1,534"
E01013012,"1,771"
E01013013,"1,432"
E01013014,"1,377"
E01013015,"1,751"
E01013016,"1,773"
E01013017,"1,848"
E01013018,"1,911"
E01013019,"1,973"
E01013020,"1,873"
E01013021,"1,429"
E01013022,"1,959"
E01013023,"1,819"
E01013024,"1,856"
E01013025,"1,329"
E01013026,"1,704"
E01013027,"1,741"
E01013028,"1,573"
E01013029,"1,467"
E01013030,"1,426"
E01013031,"1,406"
E01013032,"1,455"
E01013033,"1,550"
E01013034,"1,819"
E01013035,"1,466"
E01013036,"1,399"
E01013037,"1,383"
E01013038,"1,463"
E01013039,"1,958"
E01013040,"2,346"
E01013041,"1,573"
E01013042,"1,553"
E01013043,"1,290"
E01013044,"1,955"
E01013045,"1,533"
E01013046,"1,635"
E01013047,"1,546"
E01013048,"2,301"
E01013049,"1,648"
E01013050,"1,734"
E01013051,"1,665"
E01013053,"1,744"
E01013054,"1,925"
E01013055,"1,742"
E01013056,"1,592"
E01013057,"1,659"
E01013058,"1,486"
E01013059,"1,672"
E01013060,"2,407"
E01013061,"1,575"
E01013062,"1,601"
E01013063,"1,488"
E01013064,"1,361"
E01013065,"1,580"
E01013066,"1,530"
E01013067,"1,602"
E01013068,"2,277"
E01013069,"1,567"
E01013070,"1,462"
E01013071,"1,506"
E01013072,"1,716"
E01013073,"1,780"
E01013074,"1,566"
E01013075,"1,338"
E01013076,"1,512"
E01013077,"2,082"
E01013078,"1,458"
E01013079,"1,556"
E01013080,"1,371"
E01013081,"1,484"
E01013082,"1,647"
E01013083,"1,395"
E01013084,"1,309"
E01013085,"1,729"
E01013086,"1,490"
E01013087,"1,330"
E01013088,"1,825"
E01013089,"1,686"
E01013090,"1,454"
E01013091,"1,525"
E01013092,"2,662"
E01013093,"1,608"
E01013094,"1,393"
E01013095,"1,499"
E01013096,"1,806"
E01013097,"1,266"
E01013098,"2,198"
E01013099,"1,414"
E01013100,"1,647"
E01013101,"1,630"
E01013102,"1,414"
E01013103,"1,368"
E01013104,"1,126"
E01013105,"1,422"
E01013106,"1,161"
E01013107,"2,166"
E01013108,"1,604"
E01013110,"1,541"
E01013111,"1,355"
E01013112,"1,412"
E01013113,"1,505"
E01013114,"1,512"
E01013115,"1,416"
E01013116,"1,847"
